City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
201,Tahe,CN,52.3333,124.7333,16.9,85,3.18,overcast clouds
202,Port Blair,IN,11.6667,92.75,82.02,99,3.42,overcast clouds
203,Rawson,AR,-43.3002,-65.1023,77.65,100,10.69,overcast clouds
204,Gbarnga,LR,6.9956,-9.4722,73.76,100,0.16,light rain
205,Ndele,CF,8.4109,20.6473,86.83,69,3.78,broken clouds
206,Veraval,IN,20.9,70.3667,81.0,0,10.71,clear sky
207,Nome,US,64.5011,-165.4064,28.99,90,1.7,mist
208,Aneho,TG,6.2333,1.6,86.0,20,11.5,few clouds
209,Luderitz,NA,-26.6481,15.1594,78.62,0,7.63,clear sky
210,Caravelas,BR,-17.7125,-39.2481,79.99,8,12.66,clear sky
211,Gotsu,JP,35.0,132.2167,43.63,4,5.37,clear sky
212,Necochea,AR,-38.5473,-58.7368,75.99,0,15.01,clear sky
213,Pevek,RU,69.7008,170.3133,-13.41,44,4.92,scattered clouds
214,Kokkola,FI,63.8385,23.1307,37.4,0,5.75,clear sky
215,Cabo San Lucas,MX,22.8909,-109.9124,84.0,1,8.05,clear sky
216,Castro,BR,-24.7911,-50.0119,68.97,100,5.5,overcast clouds
217,Kodiak,US,57.79,-152.4072,39.2,90,10.36,light snow
218,Turinsk,RU,58.0458,63.696,47.12,36,5.95,scattered clouds
219,Cayenne,GF,4.9333,-52.3333,87.8,75,13.8,broken clouds
220,Kloulklubed,PW,7.0419,134.2556,78.8,90,13.8,heavy intensity rain
221,San Rafael Del Sur,NI,11.8485,-86.4384,89.6,40,13.8,scattered clouds
222,Inuvik,CA,68.3499,-133.7218,42.8,100,3.44,overcast clouds
223,Jishou,CN,28.3167,109.7167,55.49,100,1.3,light rain
224,Sitka,US,57.0531,-135.33,44.6,90,9.22,overcast clouds
225,Otaki,NZ,-40.7583,175.15,55.0,100,3.0,overcast clouds
226,Sao Filipe,CV,14.8961,-24.4956,78.12,78,14.85,broken clouds
227,Vila Velha,BR,-20.3297,-40.2925,82.0,0,18.41,clear sky
228,Yoichi,JP,43.2039,140.7703,32.0,100,17.74,snow
229,Kalemie,CD,-5.9475,29.1947,70.7,100,3.58,overcast clouds
230,Tautira,PF,-17.7333,-149.15,84.2,75,9.22,broken clouds
231,Amarpatan,IN,24.3167,80.9833,86.83,100,2.57,overcast clouds
232,Camacha,PT,33.0833,-16.3333,66.2,40,13.8,scattered clouds
233,Shirokiy,RU,49.758,129.523,26.24,87,2.95,overcast clouds
234,Berlevag,NO,70.8578,29.0864,33.8,75,39.12,snow
235,Hasaki,JP,35.7333,140.8333,44.6,75,11.5,broken clouds
236,Petukhovo,RU,55.0692,67.9019,41.18,17,8.68,few clouds
237,Tambopata,PE,-12.7333,-69.1833,86.0,40,2.3,scattered clouds
238,Bathsheba,BB,13.2167,-59.5167,84.2,40,12.66,scattered clouds
239,Erzin,TR,36.9559,36.2,60.01,99,2.33,overcast clouds
240,Yining,CN,29.0361,114.5636,58.12,100,0.81,overcast clouds
241,Nueve De Julio,AR,-35.4444,-60.8831,78.01,0,7.0,clear sky
242,Palmer,US,42.1584,-72.3287,70.0,75,3.91,broken clouds
243,Bowen,AU,-20.0167,148.2333,66.2,75,4.61,broken clouds
244,Ostrovnoy,RU,68.0531,39.5131,27.43,10,17.74,clear sky
245,Oistins,BB,13.0667,-59.5333,84.2,40,12.66,scattered clouds
246,Hobyo,SO,5.3505,48.5268,82.31,78,15.21,broken clouds
247,Bilibino,RU,68.0546,166.4372,-7.89,67,3.89,broken clouds
248,Sungaipenuh,ID,-2.0833,101.3833,64.44,95,1.34,overcast clouds
249,Tabou,CI,4.423,-7.3528,81.7,100,8.01,overcast clouds
250,Nanortalik,GL,60.1432,-45.2371,33.15,46,15.26,scattered clouds
251,Lewiston,US,44.1003,-70.2148,60.8,1,0.67,clear sky
252,Uddevalla,SE,58.3478,11.9424,42.8,90,2.3,overcast clouds
253,Half Moon Bay,US,37.4636,-122.4286,64.99,1,11.5,haze
254,Abu Dhabi,AE,24.4667,54.3667,86.0,0,3.44,clear sky
255,Kostinbrod,BG,42.8167,23.2167,41.0,75,10.36,broken clouds
256,Menongue,AO,-14.6585,17.691,66.09,86,5.19,overcast clouds
257,Kaitangata,NZ,-46.2817,169.8464,48.22,100,3.6,overcast clouds
258,Aquiraz,BR,-3.9014,-38.3911,86.0,40,12.66,scattered clouds
259,Constitucion,CL,-35.3333,-72.4167,66.29,23,15.14,few clouds
260,Sibolga,ID,1.7427,98.7792,76.33,66,3.31,broken clouds
261,Hermiston,US,45.8404,-119.2895,60.8,1,17.27,clear sky
262,Lagoa,PT,39.05,-27.9833,61.09,100,11.7,overcast clouds
263,Nyrob,RU,60.733,56.7202,43.41,59,6.6,broken clouds
264,Matay,EG,28.419,30.7792,73.15,0,9.91,clear sky
265,Talnakh,RU,69.4865,88.3972,0.34,100,1.9,overcast clouds
266,Bayji,IQ,34.9311,43.487,66.15,0,7.58,clear sky
267,Fortuna,US,40.5982,-124.1573,66.99,20,14.97,few clouds
268,Bafra,TR,41.5678,35.9069,59.0,75,4.61,broken clouds
269,Socorro,US,31.6546,-106.3033,82.0,90,12.44,overcast clouds
270,Moranbah,AU,-22.0016,148.0466,62.62,1,6.2,clear sky
271,Khashuri,GE,41.9941,43.5999,43.59,3,4.72,clear sky
272,Isiro,CD,2.7739,27.616,70.68,67,1.83,broken clouds
273,Yellowknife,CA,62.456,-114.3525,41.0,1,11.5,clear sky
274,Palora,EC,-1.7,-77.9333,78.8,40,5.75,light rain
275,Udachnyy,RU,66.4167,112.4,-1.79,68,2.89,broken clouds
276,Urucara,BR,-2.5364,-57.76,85.59,61,3.62,broken clouds
277,Chunskiy,RU,56.0815,99.6342,30.13,100,0.98,light snow
278,Forrest City,US,35.0081,-90.7898,62.6,90,11.5,overcast clouds
279,Khani,GE,41.9563,42.9566,48.2,0,4.61,clear sky
280,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.2,90,8.95,light rain
281,Snasa,NO,64.2457,12.3778,37.4,40,3.44,scattered clouds
282,Honningsvag,NO,70.9821,25.9704,32.0,40,34.52,light snow
283,Hendersonville,US,36.3048,-86.62,60.8,90,9.22,overcast clouds
284,Barcelos,PT,41.5388,-8.6151,68.0,0,13.8,clear sky
285,Baracoa,CU,20.3467,-74.4958,79.88,6,10.47,clear sky
286,Havelock,US,34.8791,-76.9013,71.6,1,14.97,clear sky
287,Borogontsy,RU,62.6683,131.1683,-5.91,73,1.1,broken clouds
288,Taoudenni,ML,22.6783,-3.9836,96.12,34,10.42,scattered clouds
289,Husavik,IS,66.0449,-17.3389,50.0,75,18.41,broken clouds
290,Shenkursk,RU,62.1091,42.896,40.93,100,6.55,overcast clouds
291,Banff,CA,51.1762,-115.5698,50.0,9,5.75,clear sky
292,Ishinomaki,JP,38.4167,141.3,38.73,0,8.19,clear sky
293,Arefu,RO,45.3333,24.6,37.4,90,12.66,overcast clouds
294,Ondjiva,AO,-17.0667,15.7333,70.83,13,7.31,few clouds
295,Mareeba,AU,-17.0,145.4333,71.6,40,5.75,scattered clouds
296,Mansehra,PK,34.3333,73.2,58.53,100,3.22,light rain
297,Mount Gambier,AU,-37.8333,140.7667,55.4,90,6.91,overcast clouds
298,Praia,CV,14.9215,-23.5087,77.0,0,26.46,clear sky
299,Pitimbu,BR,-7.4706,-34.8086,82.4,40,12.66,moderate rain
300,Torbay,CA,47.6666,-52.7314,36.0,90,14.97,overcast clouds
301,Adrar,MR,20.5022,-10.0711,86.79,12,11.12,few clouds
302,Sinnai,IT,39.3042,9.2036,57.2,20,6.91,few clouds
303,Tezpur,IN,26.6333,92.8,76.48,61,4.76,broken clouds
304,Marmaris,TR,36.855,28.2742,60.8,75,2.3,broken clouds
305,Teya,RU,60.3778,92.6267,12.61,99,2.82,overcast clouds
306,Iskandar,UZ,41.5539,69.7008,64.4,40,9.22,scattered clouds
307,Deputatskiy,RU,69.3,139.9,-16.22,100,1.92,overcast clouds
308,Llangefni,GB,53.2556,-4.3106,50.0,0,13.8,clear sky
309,Luba,GQ,3.4568,8.5547,82.4,20,8.05,few clouds
310,Kiunga,PG,-6.1219,141.2906,69.69,56,2.15,broken clouds
311,Benguela,AO,-12.5763,13.4055,81.21,8,5.08,clear sky
312,Treinta Y Tres,UY,-33.2333,-54.3833,72.63,0,10.29,clear sky
313,Central Point,US,42.376,-122.9164,62.01,1,5.75,clear sky
314,Keetmanshoop,NA,-26.5833,18.1333,77.0,0,6.91,clear sky
315,Berdigestyakh,RU,62.0989,126.6992,3.18,100,3.31,overcast clouds
316,Elbistan,TR,38.2059,37.1983,51.28,100,3.36,overcast clouds
317,Cap Malheureux,MU,-19.9842,57.6142,79.0,61,5.01,light rain
318,Puerto Del Rosario,ES,28.5004,-13.8627,73.4,40,10.36,scattered clouds
319,Boyolangu,ID,-8.1181,111.8935,74.89,99,0.34,overcast clouds
320,Kavaratti,IN,10.5669,72.642,84.0,11,3.71,few clouds
321,Eyl,SO,7.9803,49.8164,81.36,82,12.06,broken clouds
322,Primero De Marzo,PY,-25.153,-56.928,87.8,20,4.61,few clouds
323,Clyde River,CA,70.4692,-68.5914,3.2,20,12.66,few clouds
324,Semey,KZ,50.4111,80.2275,43.34,9,2.64,clear sky
325,Oranjemund,NA,-28.55,16.4333,69.67,0,1.9,clear sky
326,Shingu,JP,33.7333,135.9833,41.92,0,7.43,clear sky
327,Oriximina,BR,-1.7656,-55.8661,80.24,100,1.57,overcast clouds
328,Arak,IR,34.0917,49.6892,56.48,42,7.99,scattered clouds
329,Balabac,PH,7.9868,117.0645,79.27,13,4.94,few clouds
330,Darnah,LY,32.767,22.6367,65.16,3,11.92,clear sky
331,Victor Harbor,AU,-35.5667,138.6167,59.0,100,10.2,overcast clouds
332,Fukue,JP,32.6881,128.8419,56.26,79,15.61,broken clouds
333,Bowmore,US,34.9421,-79.3031,84.2,1,16.11,clear sky
334,Dzaoudzi,YT,-12.7887,45.2699,80.6,75,9.22,broken clouds
335,Peruibe,BR,-24.32,-46.9983,74.77,100,6.67,overcast clouds
336,Egvekinot,RU,66.3167,-179.1667,4.91,27,8.05,scattered clouds
337,Crateus,BR,-5.1783,-40.6775,82.71,100,2.73,overcast clouds
338,Sayyan,YE,15.1718,44.3244,64.76,8,7.36,clear sky
339,Yuli,NG,9.6989,10.2744,85.82,100,7.61,overcast clouds
340,Salinopolis,BR,-0.6136,-47.3561,83.03,96,10.09,overcast clouds
341,Alice Town,BS,25.7167,-79.3,74.01,0,14.52,clear sky
342,Troitsko-Pechorsk,RU,62.7084,56.1964,52.95,99,15.19,overcast clouds
343,Eureka,US,40.8021,-124.1637,69.01,1,14.97,clear sky
344,Zabol,AF,32.25,67.25,57.99,100,1.77,overcast clouds
345,Olga,RU,43.7444,135.2892,31.66,8,4.54,clear sky
346,Muhos,FI,64.808,25.9931,33.8,0,6.91,clear sky
347,Tuatapere,NZ,-46.1333,167.6833,50.0,99,1.01,light rain
348,Juneau,US,58.3019,-134.4197,44.6,90,14.97,overcast clouds
