City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
674,Galle,LK,79.36,overcast clouds,6.0367,80.217,
678,Bull Savanna,JM,83.59,light rain,17.8868,-77.5902,
680,Mayumba,GA,80.92,overcast clouds,-3.432,10.6554,
683,Jensen Beach,US,82.0,clear sky,27.2545,-80.2298,
684,Avera,US,86.0,broken clouds,33.194,-82.5271,
687,Paita,PE,87.8,clear sky,-5.0892,-81.1144,
691,Susangerd,IR,75.2,clear sky,31.5608,48.1831,
695,Male,MV,84.2,scattered clouds,4.1748,73.5089,
696,San Luis Rio Colorado,MX,78.01,broken clouds,32.4631,-114.7767,
697,Ajuchitlan,MX,82.4,broken clouds,20.7167,-100.0167,
698,Davila,PH,78.8,few clouds,18.4726,120.5763,
